sentence_id,sentence,true_label,predicted_label_tfidf,predicted_label_embedding,comment
5645,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,negative,positive,negative,TF-IDF misinterprets sarcasm and market slang ('party time for the Bears') as positive due to the lack of explicit negative indicators.
4878,EUR 152.4 mn of this was net interest income .,neutral,positive,neutral,"TF-IDF overweights numerical and financial magnitude ('152.4 mn', 'interest income') leading to an optimistic bias."
5590,"Britain's FTSE steadies, supported by Dixons Carphone",positive,positive,neutral,Embeddings model underestimates the positive implications of market steadiness.
244,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",neutral,neutral,positive,"Yield-related financial jargon confuses embeddings, which interpret uncertainty as positive signal."
1095,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,neutral,negative,"TF-IDF fails to capture negation and reputational damage context ('damage is done'), leading to a neutral prediction."
823,The new technology improves the glass quality and consistency while increasing throughput .,positive,neutral,positive,TF-IDF misses the implicit positive evaluation in the description of technical improvement.
3718,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",positive,neutral,negative,Both models struggle to capture the positive sentiment associated with the end of import restrictions. The embedding model may overfocus on terms such as 'restrictions' and 'canceled'.
4324,Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .,positive,neutral,positive,Forecasting language may have confused TF-IDF.
1137,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,positive,neutral,The embedding model fails to recognize the positive market implications of the takeover.
441,$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative,negative,neutral,The embedding model fails to contextualize the term 'short' as a bearish financial position.
