sentence_id,sentence,true_label,predicted_label_tfidf,predicted_label_embedding
3291,"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .",neutral,neutral,neutral
4532,"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .",neutral,neutral,neutral
65,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,positive,negative
1652,The bank sees a potential for Getinge share to rise .,positive,positive,positive
5372,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .,neutral,positive,positive
1248,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive,positive,positive
3814,"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",neutral,neutral,neutral
158,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,neutral,neutral
2180,Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,neutral,neutral,neutral
1125,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,neutral,neutral
3532,` By separating side businesses we will be able to faster expand and develop Tapro retail network .,positive,positive,positive
2827,`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive,positive,neutral
2053,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",positive,positive,positive
2071,Some of the lay-offs will be implemented using part-time employment contracts .,neutral,neutral,neutral
933,Airbus will attempt to evacuate up to 873 people within 90 seconds .,neutral,positive,neutral
1865,Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,neutral,negative
3315,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive,positive,positive
5437,"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",neutral,neutral,neutral
1377,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive,positive,negative
3983,The company 's market share is continued to increase further .,positive,positive,positive
5748,The court found TelecomInvest 's arguments convincing .,positive,neutral,neutral
1971,"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",neutral,neutral,neutral
1289,"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,positive,positive
3448,The acquisition price was not disclosed .,neutral,neutral,neutral
3674,Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,neutral,neutral,neutral
1236,Poyry has a good track record of major transportation projects in Latin America .,positive,positive,neutral
4954,"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",positive,positive,neutral
4425,"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",negative,negative,negative
4249,"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities .",neutral,neutral,neutral
79,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,negative,positive
4550,Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,neutral,neutral,neutral
1420,"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",neutral,neutral,neutral
969,Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,neutral,neutral,neutral
2385,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",neutral,neutral,neutral
2373,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive,positive,positive
5650,"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",neutral,neutral,neutral
3263,"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",neutral,neutral,neutral
2351,"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",positive,positive,positive
2843,"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive,neutral,positive
1502,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative,negative,negative
3657,Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,positive,positive
2527,Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .,positive,positive,positive
5645,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,negative,positive,negative
3219,Customers include hotels and restaurants as well as wholesalers and some retailers .,neutral,neutral,neutral
5056,The size of a cider bottle will remain unchanged .,neutral,neutral,neutral
1761,"The interim report for the first quarter is published on May 8 , 2009 .",neutral,neutral,neutral
3846,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",neutral,neutral,neutral
3352,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,positive,positive
2922,"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,neutral,neutral
3129,UPDATE 1-Pearson expects to grow this year after solid end to 2014,positive,positive,positive
5544,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,positive,positive
1976,The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,neutral,neutral,neutral
5262,"When the product is manufactured in Finland , it is also packed in the country .",neutral,neutral,neutral
5228,"Rio Tinto swings to loss, drops dividend policy",negative,negative,negative
59,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,neutral,neutral
1370,The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,neutral,neutral
2289,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,neutral,neutral
4251,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,positive,positive,positive
5805,"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",positive,neutral,neutral
1921,Also construction expenses have gone up in Russia .,negative,positive,neutral
2314,The financial details of the acquisition were not disclosed .,neutral,neutral,neutral
2166,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",negative,neutral,neutral
5487,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,neutral,positive
4516,Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral,neutral,neutral
4688,"Originally posted to the PCMag.com security blog , Security Watch .",neutral,neutral,neutral
2952,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive,negative,positive
3590,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,positive,positive
1676,"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",negative,negative,negative
5059,EBIT excluding non-recurring items was estimated to increase from 2009 .,positive,positive,positive
3329,"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",neutral,neutral,neutral
1716,"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation .",neutral,neutral,neutral
836,"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .",neutral,neutral,neutral
4437,Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,neutral,neutral,neutral
5229,Cision says the sale will return its U.K. operation to profitability .,positive,positive,positive
2074,"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive,positive,positive
5322,The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,neutral,negative
731,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive,positive,negative
711,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,neutral,neutral
280,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,neutral,neutral
260,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,neutral,neutral,neutral
1387,NetCom expects to complete Turbo 3G deployment in these areas this year .,neutral,positive,neutral
1331,Berkshire Hathaway names Kara Raiguel to lead General Re unit,neutral,positive,positive
1904,Total operating revenue grew by 27.6 % year-on-year to EUR61m .,positive,positive,positive
1722,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,positive,positive
630,Tesco sales recover as focus returns to core business,positive,positive,negative
3076,The transaction is expected to be completed next spring .,neutral,neutral,neutral
5313,"HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae .",positive,neutral,neutral
2221,"HK Ruokatalo produces many turkey products , such as cold cuts .",neutral,negative,neutral
5205,The most significant challengers in the market are Logset and Sampo-Rosenlew .,neutral,neutral,positive
4981,Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,positive,neutral,positive
55,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,positive,positive
3156,"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral,neutral,neutral
423,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",neutral,negative,negative
1967,#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,positive,negative,negative
1598,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,neutral,negative,negative
95,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,neutral,neutral
4393,GlaxoSmithKline starts hunt for successor to CEO Witty,neutral,positive,negative
2212,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,neutral,neutral
2948,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,neutral,positive,positive
5730,"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .",neutral,neutral,neutral
1085,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,neutral,positive
143,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,neutral,positive
